"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc"
"42","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","1","Kita",NA,"PROPN",NA,NA,"2","nsubj",NA,NA
"43","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","2","lihat",NA,"VERB",NA,NA,"0","root",NA,NA
"44","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","3","ini",NA,"DET",NA,NA,"2","det",NA,NA
"45","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","4","di",NA,"ADP",NA,NA,"2","case",NA,NA
"46","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","5","depan",NA,"ADJ",NA,NA,"2","amod",NA,NA
"47","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","6","ada",NA,"VERB",NA,NA,"2","acl",NA,NA
"48","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","7","minuman",NA,"NOUN",NA,NA,"6","obj",NA,NA
"49","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","8","Coca-Cola",NA,"PROPN",NA,NA,"7","flat",NA,"SpaceAfter=No"
"50","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","9",",",NA,"PUNCT",NA,NA,"2","punct",NA,NA
"51","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","10","Aqua",NA,"PROPN",NA,NA,"2","obj",NA,"SpaceAfter=No"
"52","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","11",",",NA,"PUNCT",NA,NA,"12","punct",NA,NA
"53","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","12","Mizone",NA,"PROPN",NA,NA,"10","conj",NA,"SpaceAfter=No"
"54","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","13",",",NA,"PUNCT",NA,NA,"14","punct",NA,NA
"55","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","14","Teh",NA,"PROPN",NA,NA,"10","conj",NA,NA
"56","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","15","Kotak",NA,"PROPN",NA,NA,"14","flat",NA,"SpaceAfter=No"
"57","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","16",",",NA,"PUNCT",NA,NA,"18","punct",NA,NA
"58","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","17","dan",NA,"CCONJ",NA,NA,"18","cc",NA,NA
"59","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","18","rokok",NA,"NOUN",NA,NA,"10","conj",NA,"SpaceAfter=No"
"60","doc4",1,1,"Kita lihat ini di depan ada minuman Coca-Cola, Aqua, Mizone, Teh Kotak, dan rokok.","19",".",NA,"PUNCT",NA,NA,"2","punct",NA,"SpacesAfter=\n"
"61","doc5",1,1,"Penghasilan setiap hari berapa biasanya, Pak?","1","Penghasilan",NA,"NOUN",NA,NA,"0","root",NA,NA
"62","doc5",1,1,"Penghasilan setiap hari berapa biasanya, Pak?","2","setiap",NA,"DET",NA,NA,"3","det",NA,NA
"63","doc5",1,1,"Penghasilan setiap hari berapa biasanya, Pak?","3","hari",NA,"NOUN",NA,NA,"1","compound",NA,NA
"64","doc5",1,1,"Penghasilan setiap hari berapa biasanya, Pak?","4","berapa",NA,"DET",NA,NA,"3","det",NA,NA
"65","doc5",1,1,"Penghasilan setiap hari berapa biasanya, Pak?","5","biasanya",NA,"ADV",NA,NA,"3","advmod",NA,"SpaceAfter=No"
"66","doc5",1,1,"Penghasilan setiap hari berapa biasanya, Pak?","6",",",NA,"PUNCT",NA,NA,"1","punct",NA,NA
"67","doc5",1,1,"Penghasilan setiap hari berapa biasanya, Pak?","7","Pak",NA,"PROPN",NA,NA,"1","appos",NA,"SpaceAfter=No"
"68","doc5",1,1,"Penghasilan setiap hari berapa biasanya, Pak?","8","?",NA,"PUNCT",NA,NA,"1","punct",NA,"SpacesAfter=\n"
"69","doc6",1,1,"Penghasilannya tidak tentu.","1","Penghasilannya",NA,"NOUN",NA,NA,"3","nsubj:pass",NA,NA
"70","doc6",1,1,"Penghasilannya tidak tentu.","2","tidak",NA,"PART",NA,"Polarity=Neg","3","advmod",NA,NA
"71","doc6",1,1,"Penghasilannya tidak tentu.","3","tentu",NA,"VERB",NA,NA,"0","root",NA,"SpaceAfter=No"
"72","doc6",1,1,"Penghasilannya tidak tentu.","4",".",NA,"PUNCT",NA,NA,"3","punct",NA,NA
"73","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","1","Kalau",NA,"SCONJ",NA,NA,"3","mark",NA,NA
"74","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","2","lagi",NA,"ADV",NA,NA,"3","advmod",NA,NA
"75","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","3","ada",NA,"VERB",NA,NA,"9","advcl",NA,NA
"76","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","4","keramaian",NA,"NOUN",NA,NA,"3","obj",NA,"SpaceAfter=No"
"77","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","5",",",NA,"PUNCT",NA,NA,"3","punct",NA,NA
"78","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","6","mungkin",NA,"ADV",NA,NA,"9","advmod",NA,NA
"79","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","7","kita",NA,"PRON",NA,NA,"9","nsubj",NA,NA
"80","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","8","bisa",NA,"ADV",NA,NA,"9","advmod",NA,NA
"81","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","9","dapat",NA,"VERB",NA,NA,"0","root",NA,NA
"82","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","10","sekitar",NA,"ADP",NA,NA,"9","case",NA,NA
"83","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","11","300-500",NA,"NUM",NA,"NumType=Card","9","nummod",NA,"SpaceAfter=No"
"84","doc6",1,2,"Kalau lagi ada keramaian, mungkin kita bisa dapat sekitar 300-500.","12",".",NA,"PUNCT",NA,NA,"9","punct",NA,NA
"85","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","1","Kalau",NA,"SCONJ",NA,NA,"2","mark",NA,NA
"86","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","2","hari-hari",NA,"NOUN",NA,NA,"11","nsubj",NA,NA
"87","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","3","biasa",NA,"ADJ",NA,NA,"2","amod",NA,NA
"88","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","4","begini",NA,"NOUN",NA,NA,"2","compound",NA,"SpaceAfter=No"
"89","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","5",",",NA,"PUNCT",NA,NA,"6","punct",NA,NA
"90","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","6","kadang",NA,"NOUN",NA,NA,"2","conj",NA,NA
"91","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","7","200",NA,"NUM",NA,"NumType=Card","6","nummod",NA,NA
"92","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","8","atau",NA,"CCONJ",NA,NA,"9","cc",NA,NA
"93","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","9","150",NA,"NUM",NA,"NumType=Card","7","conj",NA,"SpaceAfter=No"
"94","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","10",",",NA,"PUNCT",NA,NA,"11","punct",NA,NA
"95","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","11","tergantung",NA,"VERB",NA,NA,"0","root",NA,NA
"96","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","12","pengunjungnya",NA,"NOUN",NA,NA,"11","obj",NA,"SpaceAfter=No"
"97","doc6",1,3,"Kalau hari-hari biasa begini, kadang 200 atau 150, tergantung pengunjungnya.","13",".",NA,"PUNCT",NA,NA,"11","punct",NA,"SpacesAfter=\n"
"98","doc7",1,1,"Biasa yang ramai hari apa?","1","Biasa",NA,"PROPN",NA,NA,"0","root",NA,NA
"99","doc7",1,1,"Biasa yang ramai hari apa?","2","yang",NA,"PRON",NA,NA,"3","nsubj",NA,NA
"100","doc7",1,1,"Biasa yang ramai hari apa?","3","ramai",NA,"VERB",NA,NA,"1","acl",NA,NA
"101","doc7",1,1,"Biasa yang ramai hari apa?","4","hari",NA,"NOUN",NA,NA,"3","obj",NA,NA
"102","doc7",1,1,"Biasa yang ramai hari apa?","5","apa",NA,"NOUN",NA,NA,"4","compound",NA,"SpaceAfter=No"
"103","doc7",1,1,"Biasa yang ramai hari apa?","6","?",NA,"PUNCT",NA,NA,"1","punct",NA,"SpacesAfter=\n"
"104","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","1","Kalau",NA,"SCONJ",NA,NA,"4","mark",NA,NA
"105","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","2","pas",NA,"NOUN",NA,NA,"4","nsubj",NA,NA
"106","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","3","lagi",NA,"ADV",NA,NA,"4","advmod",NA,NA
"107","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","4","ada",NA,"VERB",NA,NA,"10","advcl",NA,NA
"108","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","5","acara",NA,"NOUN",NA,NA,"4","obj",NA,NA
"109","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","6","di",NA,"ADP",NA,NA,"7","case",NA,NA
"110","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","7","anjungan",NA,"NOUN",NA,NA,"5","nmod",NA,NA
"111","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","8","ini",NA,"DET",NA,NA,"7","det",NA,"SpaceAfter=No"
"112","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","9",",",NA,"PUNCT",NA,NA,"4","punct",NA,NA
"113","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","10","ada",NA,"VERB",NA,NA,"0","root",NA,NA
"114","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","11","event-event",NA,"NOUN",NA,NA,"10","obj",NA,"SpaceAfter=No"
"115","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","12",",",NA,"PUNCT",NA,NA,"10","punct",NA,NA
"116","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","13","itu",NA,"DET",NA,NA,"17","det",NA,NA
"117","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","14","pasti",NA,"ADV",NA,NA,"17","advmod",NA,NA
"118","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","15","pengunjung",NA,"NOUN",NA,NA,"17","nsubj",NA,NA
"119","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","16","banyak",NA,"ADV",NA,NA,"17","advmod",NA,NA
"120","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","17","datang",NA,"VERB",NA,NA,"10","parataxis",NA,"SpaceAfter=No"
"121","doc8",1,1,"Kalau pas lagi ada acara di anjungan ini, ada event-event, itu pasti pengunjung banyak datang.","18",".",NA,"PUNCT",NA,NA,"10","punct",NA,NA
"122","doc8",1,2,"Seperti ketika ada artis.","1","Seperti",NA,"ADP",NA,NA,"3","case",NA,NA
"123","doc8",1,2,"Seperti ketika ada artis.","2","ketika",NA,"SCONJ",NA,NA,"3","mark",NA,NA
"124","doc8",1,2,"Seperti ketika ada artis.","3","ada",NA,"VERB",NA,NA,"0","root",NA,NA
"125","doc8",1,2,"Seperti ketika ada artis.","4","artis",NA,"NOUN",NA,NA,"3","obj",NA,"SpaceAfter=No"
"126","doc8",1,2,"Seperti ketika ada artis.","5",".",NA,"PUNCT",NA,NA,"3","punct",NA,"SpacesAfter=\s\n"
"127","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","1","Dari",NA,"ADP",NA,NA,"2","case",NA,NA
"128","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","2","jam",NA,"NOUN",NA,NA,"7","obl",NA,NA
"129","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","3","berapa",NA,"NUM",NA,"NumType=Card","2","nummod",NA,NA
"130","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","4","sampai",NA,"ADP",NA,NA,"5","case",NA,NA
"131","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","5","jam",NA,"NOUN",NA,NA,"2","nmod",NA,NA
"132","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","6","berapa",NA,"DET",NA,NA,"5","det",NA,NA
"133","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","7","berjualan",NA,"VERB",NA,NA,"0","root",NA,NA
"134","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","8","di",NA,"ADP",NA,NA,"9","case",NA,NA
"135","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","9","sini",NA,"NOUN",NA,NA,"7","obl",NA,"SpaceAfter=No"
"136","doc9",1,1,"Dari jam berapa sampai jam berapa berjualan di sini?","10","?",NA,"PUNCT",NA,NA,"7","punct",NA,"SpacesAfter=\n"
"137","doc10",1,1,"Kalau hari biasa, kita berjualan sore.","1","Kalau",NA,"SCONJ",NA,NA,"2","case",NA,NA
"138","doc10",1,1,"Kalau hari biasa, kita berjualan sore.","2","hari",NA,"NOUN",NA,NA,"6","obl",NA,NA
"139","doc10",1,1,"Kalau hari biasa, kita berjualan sore.","3","biasa",NA,"ADJ",NA,NA,"2","amod",NA,"SpaceAfter=No"
"140","doc10",1,1,"Kalau hari biasa, kita berjualan sore.","4",",",NA,"PUNCT",NA,NA,"6","punct",NA,NA
"141","doc10",1,1,"Kalau hari biasa, kita berjualan sore.","5","kita",NA,"PRON",NA,NA,"6","nsubj",NA,NA
"142","doc10",1,1,"Kalau hari biasa, kita berjualan sore.","6","berjualan",NA,"VERB",NA,NA,"0","root",NA,NA
"143","doc10",1,1,"Kalau hari biasa, kita berjualan sore.","7","sore",NA,"NOUN",NA,NA,"6","obj",NA,"SpaceAfter=No"
"144","doc10",1,1,"Kalau hari biasa, kita berjualan sore.","8",".",NA,"PUNCT",NA,NA,"6","punct",NA,NA
"145","doc10",1,2,"Kadang teman-teman datang jam tiga.","1","Kadang",NA,"NOUN",NA,NA,"3","nsubj",NA,NA
"146","doc10",1,2,"Kadang teman-teman datang jam tiga.","2","teman-teman",NA,"NOUN",NA,NA,"1","compound",NA,NA
"147","doc10",1,2,"Kadang teman-teman datang jam tiga.","3","datang",NA,"VERB",NA,NA,"0","root",NA,NA
"148","doc10",1,2,"Kadang teman-teman datang jam tiga.","4","jam",NA,"NOUN",NA,NA,"3","obj",NA,NA
"149","doc10",1,2,"Kadang teman-teman datang jam tiga.","5","tiga",NA,"NUM",NA,"NumType=Card","4","nummod",NA,"SpaceAfter=No"
"150","doc10",1,2,"Kadang teman-teman datang jam tiga.","6",".",NA,"PUNCT",NA,NA,"3","punct",NA,NA
"151","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","1","Kalau",NA,"SCONJ",NA,NA,"2","case",NA,NA
"152","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","2","hari",NA,"NOUN",NA,NA,"7","obl",NA,NA
"153","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","3","Minggu",NA,"PROPN",NA,NA,"2","flat",NA,"SpaceAfter=No"
"154","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","4",",",NA,"PUNCT",NA,NA,"2","punct",NA,NA
"155","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","5","kadang",NA,"ADV",NA,NA,"7","advmod",NA,NA
"156","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","6","dia",NA,"PRON",NA,NA,"7","nsubj",NA,NA
"157","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","7","bermalam",NA,"VERB",NA,NA,"0","root",NA,NA
"158","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","8","di",NA,"ADP",NA,NA,"9","case",NA,NA
"159","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","9","sini",NA,"PRON",NA,NA,"7","obl",NA,"SpaceAfter=No"
"160","doc10",1,3,"Kalau hari Minggu, kadang dia bermalam di sini.","10",".",NA,"PUNCT",NA,NA,"7","punct",NA,"SpacesAfter=\s\n"
"161","doc11",1,1,"Sampai jam berapa?","1","Sampai",NA,"ADP",NA,NA,"2","case",NA,NA
"162","doc11",1,1,"Sampai jam berapa?","2","jam",NA,"NOUN",NA,NA,"0","root",NA,NA
"163","doc11",1,1,"Sampai jam berapa?","3","berapa",NA,"NUM",NA,"NumType=Card","2","nummod",NA,"SpaceAfter=No"
"164","doc11",1,1,"Sampai jam berapa?","4","?",NA,"PUNCT",NA,NA,"2","punct",NA,"SpacesAfter=\s\n"
"165","doc12",1,1,"Sampai jam sepuluh pagi.","1","Sampai",NA,"ADP",NA,NA,"2","case",NA,NA
"166","doc12",1,1,"Sampai jam sepuluh pagi.","2","jam",NA,"NOUN",NA,NA,"0","root",NA,NA
"167","doc12",1,1,"Sampai jam sepuluh pagi.","3","sepuluh",NA,"NUM",NA,"NumType=Card","4","nummod",NA,NA
"168","doc12",1,1,"Sampai jam sepuluh pagi.","4","pagi",NA,"NOUN",NA,NA,"2","compound",NA,"SpaceAfter=No"
"169","doc12",1,1,"Sampai jam sepuluh pagi.","5",".",NA,"PUNCT",NA,NA,"2","punct",NA,NA
"170","doc12",1,2,"Itu sudah bubar.","1","Itu",NA,"PROPN",NA,NA,"3","nsubj:pass",NA,NA
"171","doc12",1,2,"Itu sudah bubar.","2","sudah",NA,"ADV",NA,NA,"3","advmod",NA,NA
"172","doc12",1,2,"Itu sudah bubar.","3","bubar",NA,"VERB",NA,NA,"0","root",NA,"SpaceAfter=No"
"173","doc12",1,2,"Itu sudah bubar.","4",".",NA,"PUNCT",NA,NA,"3","punct",NA,NA
"174","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","1","Tapi",NA,"SCONJ",NA,NA,"3","mark",NA,NA
"175","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","2","kalau",NA,"SCONJ",NA,NA,"3","mark",NA,NA
"176","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","3","ada",NA,"VERB",NA,NA,"0","root",NA,NA
"177","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","4","acara",NA,"NOUN",NA,NA,"3","obj",NA,NA
"178","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","5","atau",NA,"CCONJ",NA,NA,"6","cc",NA,NA
"179","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","6","event",NA,"NOUN",NA,NA,"4","conj",NA,"SpaceAfter=No"
"180","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","7",",",NA,"PUNCT",NA,NA,"4","punct",NA,NA
"181","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","8","buka",NA,"NOUN",NA,NA,"4","compound",NA,NA
"182","doc12",1,3,"Tapi kalau ada acara atau event, buka di lapangan bisa sampai satu minggu.","9","di",NA,"ADP",NA,NA,"10","case",NA,NA
